CountyFP,Time_fornow_enddate,StartDate,EndDate,DurationDays,Hazard,CropDmg,avg_tmax,avg_tmin,avg_ppt,unique_id,duplicate
24011,7/4/1991,7/1/1991,7/4/1991,4,Heat,0,86.89845574,67.91556766,0.131560136,24011 1991-07-01,FALSE
24015,7/4/1991,7/1/1991,7/4/1991,4,Heat,0,84.66414995,66.36459994,0.103163979,24015 1991-07-01,FALSE
24019,7/4/1991,7/1/1991,7/4/1991,4,Heat,0,86.63772575,70.36687532,0.140051357,24019 1991-07-01,FALSE
24029,7/4/1991,7/1/1991,7/4/1991,4,Heat,0,85.55458793,68.68371626,0.186611605,24029 1991-07-01,FALSE
24035,7/4/1991,7/1/1991,7/4/1991,4,Heat,0,86.2046492,68.64123455,0.16310226,24035 1991-07-01,FALSE
24039,7/4/1991,7/1/1991,7/4/1991,4,Heat,0,86.95423295,69.8131223,0.280307753,24039 1991-07-01,FALSE
24041,7/4/1991,7/1/1991,7/4/1991,4,Heat,0,86.99450903,69.88156712,0.136288189,24041 1991-07-01,FALSE
24045,7/4/1991,7/1/1991,7/4/1991,4,Heat,0,87.12307803,68.32142967,0.206859568,24045 1991-07-01,FALSE
24047,7/4/1991,7/1/1991,7/4/1991,4,Heat,0,85.23088655,67.85634417,0.247081172,24047 1991-07-01,FALSE
24011,7/24/1991,7/17/1991,7/24/1991,8,Heat,0,95.33698831,72.41662206,0.038116508,24011 1991-07-17,FALSE
24015,7/24/1991,7/17/1991,7/24/1991,8,Heat,0,94.68522866,71.60898931,0.047158246,24015 1991-07-17,FALSE
24019,7/24/1991,7/17/1991,7/24/1991,8,Heat,0,93.62353459,74.66924723,0.011313051,24019 1991-07-17,FALSE
24029,7/24/1991,7/17/1991,7/24/1991,8,Heat,0,94.34246199,73.42714182,0.086807386,24029 1991-07-17,FALSE
24035,7/24/1991,7/17/1991,7/24/1991,8,Heat,0,94.46714582,73.22176513,0.07420598,24035 1991-07-17,FALSE
24039,7/24/1991,7/17/1991,7/24/1991,8,Heat,0,92.74746482,73.94418661,0,24039 1991-07-17,FALSE
24041,7/24/1991,7/17/1991,7/24/1991,8,Heat,0,94.2833841,74.05992949,0.045177559,24041 1991-07-17,FALSE
24045,7/24/1991,7/17/1991,7/24/1991,8,Heat,0,93.37367708,72.42372115,0.00034282,24045 1991-07-17,FALSE
24047,7/24/1991,7/17/1991,7/24/1991,8,Heat,0,91.76527544,72.73581583,5.47128E-05,24047 1991-07-17,FALSE
24011,7/17/1988,7/17/1988,7/17/1988,1,Heat,0,100.2522942,76.13949396,0,24011 1988-07-17,FALSE
24015,7/17/1988,7/17/1988,7/17/1988,1,Heat,0,99.86425694,74.01362871,6.24922E-07,24015 1988-07-17,FALSE
24019,7/17/1988,7/17/1988,7/17/1988,1,Heat,0,97.63728493,77.97164344,0,24019 1988-07-17,FALSE
24029,7/17/1988,7/17/1988,7/17/1988,1,Heat,0,100.0643004,76.7397827,0,24029 1988-07-17,FALSE
24035,7/17/1988,7/17/1988,7/17/1988,1,Heat,0,100.1591731,76.74235172,0,24035 1988-07-17,FALSE
24039,7/17/1988,7/17/1988,7/17/1988,1,Heat,0,97.07443615,77.11237168,0,24039 1988-07-17,FALSE
24041,7/17/1988,7/17/1988,7/17/1988,1,Heat,0,99.50521974,77.65321995,0,24041 1988-07-17,FALSE
24045,7/17/1988,7/17/1988,7/17/1988,1,Heat,0,98.79375949,76.07849153,0,24045 1988-07-17,FALSE
24047,7/17/1988,7/17/1988,7/17/1988,1,Heat,0,94.94763084,75.96800682,0,24047 1988-07-17,FALSE
24011,7/17/1987,7/17/1987,7/17/1987,1,Heat,460.5,80.07976465,56.84769414,2.31589E-05,24011 1987-07-17,FALSE
24015,7/17/1987,7/17/1987,7/17/1987,1,Heat,460.5,79.03282863,56.34234287,0,24015 1987-07-17,FALSE
24019,7/17/1987,7/17/1987,7/17/1987,1,Heat,460.5,79.33793278,62.43628925,0.004507289,24019 1987-07-17,FALSE
24029,7/17/1987,7/17/1987,7/17/1987,1,Heat,460.5,78.64786063,59.28502603,0,24029 1987-07-17,FALSE
24035,7/17/1987,7/17/1987,7/17/1987,1,Heat,460.5,79.22390001,58.84628612,0,24035 1987-07-17,FALSE
24039,7/17/1987,7/17/1987,7/17/1987,1,Heat,460.5,79.11146418,60.9518751,0.000239736,24039 1987-07-17,FALSE
